Authors	Title	Year	Source	Publisher	ArticleURL	CitesURL	GSRank	QueryDate	Type	DOI
"RH Kaiser, MT Treadway, DW Wooten, P Kumar…"	Frontostriatal and dopamine markers of individual differences in reinforcement learning: a multi-modal investigation	2018	Cerebral …	academic.oup.com	https://academic.oup.com/cercor/article-abstract/28/12/4281/4600035	"https://scholar.google.com/scholar?cites=6215958050325998963&as_sdt=2005&sciodt=0,5&hl=en"	179	03/12/2020 13:53		
"BB Averbeck, VD Costa"	Motivational neural circuits underlying reinforcement learning	2017	Nature Neuroscience	nature.com	https://www.nature.com/neuro/journal/v20/n4/full/nn.4506.html	"https://scholar.google.com/scholar?cites=13513858747801788927&as_sdt=2005&sciodt=0,5&hl=en"	180	03/12/2020 13:53	HTML	
"V Lomonaco, K Desai, E Culurciello…"	Continual reinforcement learning in 3d non-stationary environments	2020	Proceedings of the …	openaccess.thecvf.com	http://openaccess.thecvf.com/content_CVPRW_2020/html/w15/Lomonaco_Continual_Reinforcement_Learning_in_3D_Non-Stationary_Environments_CVPRW_2020_paper.html	"https://scholar.google.com/scholar?cites=12376589706931909479&as_sdt=2005&sciodt=0,5&hl=en"	181	03/12/2020 13:53		
"A Kaplan, AD Mizrahi-Kliger, Z Israel, A Adler…"	Dissociable roles of ventral pallidum neurons in the basal ganglia reinforcement learning network	2020	Nature …	nature.com	https://www.nature.com/articles/s41593-020-0605-y	"https://scholar.google.com/scholar?cites=10189643908961537072&as_sdt=2005&sciodt=0,5&hl=en"	182	03/12/2020 13:53	HTML	
"T Kim, RA Capps, KC Hamade, WH Barnett…"	The functional role of striatal cholinergic interneurons in reinforcement learning from computational perspective	2019	Frontiers in neural …	frontiersin.org	https://www.frontiersin.org/articles/10.3389/fncir.2019.00010/full	"https://scholar.google.com/scholar?cites=1780594733680987178&as_sdt=2005&sciodt=0,5&hl=en"	183	03/12/2020 13:53	HTML	
"S Rupprechter, A Stankevicius, QJM Huys, JD Steele…"	Major depression impairs the use of reward values for decision-making	2018	Scientific reports	nature.com	https://www.nature.com/articles/s41598-018-31730-w	"https://scholar.google.com/scholar?cites=14315351052371387133&as_sdt=2005&sciodt=0,5&hl=en"	184	03/12/2020 13:53	HTML	
"Y Worbe, S Palminteri, A Hartmann…"	Reinforcement learning and Gilles de la Tourette syndrome: dissociation of clinical phenotypes and pharmacological treatments	2011	Archives of general …	jamanetwork.com	https://jamanetwork.com/journals/jamapsychiatry/article-abstract/1107432	"https://scholar.google.com/scholar?cites=3448984925727697014&as_sdt=2005&sciodt=0,5&hl=en"	185	03/12/2020 13:53		
"QJ Huys, J Vogelstein, P Dayan"	Psychiatry: Insights into depression through normative decision-making models	2009	Advances in neural information …	papers.nips.cc	http://papers.nips.cc/paper/3563-psychiatry-insights-into-depression-through-normative-decision-making-models.pdf	"https://scholar.google.com/scholar?cites=14209959926874214944&as_sdt=2005&sciodt=0,5&hl=en"	186	03/12/2020 13:53	PDF	
DS Pine	Clinical advances from a computational approach to anxiety	2017	Biological psychiatry	biologicalpsychiatryjournal.com	https://www.biologicalpsychiatryjournal.com/article/S0006-3223(16)32866-9/abstract	"https://scholar.google.com/scholar?cites=13787948855793992753&as_sdt=2005&sciodt=0,5&hl=en"	187	03/12/2020 13:53		
"BP Gold, MJ Frank, B Bogert, E Brattico"	Pleasurable music affects reinforcement learning according to the listener	2013	Frontiers in psychology	frontiersin.org	https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00541/full	"https://scholar.google.com/scholar?cites=8217433821784389323&as_sdt=2005&sciodt=0,5&hl=en"	188	03/12/2020 13:53	HTML	
"AJ Culbreth, A Westbrook, ND Daw…"	Reduced model-based decision-making in schizophrenia.	2016	Journal of abnormal …	psycnet.apa.org	https://psycnet.apa.org/record/2016-23427-001	"https://scholar.google.com/scholar?cites=18286089956102516645&as_sdt=2005&sciodt=0,5&hl=en"	189	03/12/2020 13:53		
"J Bakic, M Jepma, R De Raedt, G Pourtois"	Effects of positive mood on probabilistic learning: Behavioral and electrophysiological correlates	2014	Biological Psychology	Elsevier	https://www.sciencedirect.com/science/article/pii/S0301051114002130	"https://scholar.google.com/scholar?cites=1164547552274761969&as_sdt=2005&sciodt=0,5&hl=en"	190	03/12/2020 13:53	HTML	
"G Jocham, TA Klein, M Ullsperger"	Differential modulation of reinforcement learning by D2 dopamine and NMDA glutamate receptor antagonism	2014	Journal of Neuroscience	Soc Neuroscience	https://www.jneurosci.org/content/34/39/13151.short	"https://scholar.google.com/scholar?cites=7299098011127681827&as_sdt=2005&sciodt=0,5&hl=en"	191	03/12/2020 13:53		
"CA Webb, DG Dillon, P Pechtel, FK Goer…"	Neural correlates of three promising endophenotypes of depression: evidence from the EMBARC study	2016	…	nature.com	https://www.nature.com/articles/npp2015165	"https://scholar.google.com/scholar?cites=507414671546313115&as_sdt=2005&sciodt=0,5&hl=en"	192	03/12/2020 13:53	HTML	
"R Boehme, L Deserno, T Gleich…"	Aberrant salience is related to reduced reinforcement learning signals and elevated dopamine synthesis capacity in healthy adults	2015	Journal of …	Soc Neuroscience	https://www.jneurosci.org/content/35/28/10103.short	"https://scholar.google.com/scholar?cites=8493351624680523223&as_sdt=2005&sciodt=0,5&hl=en"	193	03/12/2020 13:53		
"R Padmanabhan, N Meskin, WM Haddad"	Closed-loop control of anesthesia and mean arterial pressure using reinforcement learning	2015	Biomedical Signal Processing …	Elsevier	https://www.sciencedirect.com/science/article/pii/S1746809415000920	"https://scholar.google.com/scholar?cites=11976377128567701729&as_sdt=2005&sciodt=0,5&hl=en"	194	03/12/2020 13:53	HTML	
DR Bach	The cognitive architecture of anxiety-like behavioral inhibition.	2017	Journal of experimental psychology: human perception …	psycnet.apa.org	https://psycnet.apa.org/journals/xhp/43/1/18/	"https://scholar.google.com/scholar?cites=776058524956827059&as_sdt=2005&sciodt=0,5&hl=en"	195	03/12/2020 13:53		
"JA Kruppa, A Gossen, EO Weiß, G Kohls…"	Neural modulation of social reinforcement learning by intranasal oxytocin in male adults with high-functioning autism spectrum disorder: a randomized trial	2019	…	nature.com	https://www.nature.com/articles/s41386-018-0258-7	"https://scholar.google.com/scholar?cites=10889826298391580897&as_sdt=2005&sciodt=0,5&hl=en"	196	03/12/2020 13:53	HTML	
"A Markou, JD Salamone, TJ Bussey, AC Mar…"	Measuring reinforcement learning and motivation constructs in experimental animals: relevance to the negative symptoms of schizophrenia	2013	Neuroscience & …	Elsevier	https://www.sciencedirect.com/science/article/pii/S0149763413001978	"https://scholar.google.com/scholar?cites=16238316443204017090&as_sdt=2005&sciodt=0,5&hl=en"	197	03/12/2020 13:53	HTML	
"PB Sharp, E Eldar"	Computational models of anxiety: nascent efforts and future directions	2019	Current Directions in Psychological …	journals.sagepub.com	https://journals.sagepub.com/doi/abs/10.1177/0963721418818441	"https://scholar.google.com/scholar?cites=3481444950984126956&as_sdt=2005&sciodt=0,5&hl=en"	198	03/12/2020 13:53		
"SA Hassani, M Oemisch, M Balcarras, S Westendorff…"	A computational psychiatry approach identifies how alpha-2A noradrenergic agonist Guanfacine affects feature-based reinforcement learning in the macaque	2017	Scientific reports	nature.com	https://www.nature.com/articles/srep40606	"https://scholar.google.com/scholar?cites=15876245859655927298&as_sdt=2005&sciodt=0,5&hl=en"	199	03/12/2020 13:53	HTML	
"Z Ning, P Dong, X Wang, MS Obaidat…"	When deep reinforcement learning meets 5G-enabled vehicular networks: A distributed offloading framework for traffic big data	2019	IEEE Transactions …	ieeexplore.ieee.org	https://ieeexplore.ieee.org/abstract/document/8809673/	"https://scholar.google.com/scholar?cites=16424733781137991272&as_sdt=2005&sciodt=0,5&hl=en"	200	03/12/2020 13:53		
